4cedfba93829,CS993,5,WPA2-PSK,False
f2c32acb1eb6,ESP8266 honeypot,6,WPA2-PSK,False
e4c32acb1d56,I can read your emails,6,WPA2-PSK,False
e4c32acb1eb6,I can read your emails,6,WPA2-PSK,False
0e96e6986b75,DIRECT-75-HP M477 LaserJet,6,WPA2-PSK,False
f2c32acb1d56,ESP8266 honeypot,6,WPA2-PSK,False
1236c979740f,A17 - KKKKK-Guest,9,WPA2-PSK,False
0836c979740f,A17 - KKKKK,9,WPA2-PSK,False
eec32acb2e22,ESP8266 honeypot,6,WPA2-PSK,False
e4c32acb2e22,I can read your emails,6,WPA2-PSK,False
b8eca325eae7,LaVetta,1,WPA/WPA2-PSK,False
0836c9797207,A17 - KKKKK,9,WPA2-PSK,False
c2a5111dc3fd,Yu family,4,WPA2-PSK,False
3c7c3f357151,bennytoby,9,WPA2-PSK,False
062a7d86bf71,Legoland,1,WPA/WPA2-PSK,False
462a7d86bea5,Legoland,1,WPA/WPA2-PSK,False
1236c9797207,A17 - KKKKK-Guest,9,WPA2-PSK,False
c4411eef126f,Toudum,2,WPA2-PSK,False
04d9f5fb30c0,CS993,5,WPA2-PSK,False
c4411eef109e,Toudum,3,WPA2-PSK,False
1831bf35d949,CS993,5,WPA2-PSK,False
c4411eef0e05,Toudum,9,WPA2-PSK,False
002542846063,Blackvue750S-VG6098,1,WPA2-PSK,False
2c55d3f480dc,Jwong,11,WPA2-PSK,False
d4722667ef8f,ZTE_5G,11,WPA2-PSK,False
a85e45ed64a8,Vivian,1,WPA2-PSK,False
04d9f596a428,A16,2,WPA2-PSK,False
f02f746247b8,A22,6,WPA2-PSK,False
bae7a325eae8,HiFi,1,WPA/WPA2-PSK,False
a85e45ed6120,Vivian,1,WPA2-PSK,False
244bfef47cc1,@@@@,2,WPA2-PSK,False
54a703c8d054,SU888888,1,WPA/WPA2-PSK,False
80ea07c8c778,SU888888,6,WPA/WPA2-PSK,False
f02f7427f190,HappyFamily,7,WPA2-PSK,False
b8eca3f5db58,LaVetta,11,WPA/WPA2-PSK,False
ba5ba3f5db5c,HiFi,6,WPA/WPA2-PSK,False
ba58a3f5db59,HiFi,11,WPA/WPA2-PSK,False
b8eca3f5db5b,LaVetta,6,WPA/WPA2-PSK,False
002542e22b4e,Blackvue750X-MJ999,1,WPA2-PSK,False
187c0b43fff8,Chan's Family,9,WPA2-PSK,False
e89f804444ec,Fu LV,7,WPA2-PSK,False
f02f746247c0,A22,6,WPA2-PSK,False
244bfec766b1,house 28,8,WPA2-PSK,False
2058696e86c8,Chan's Family,7,WPA2-PSK,False
3c7c3f3405c1,bennytoby,9,WPA2-PSK,False
d472264c768e,SmarTone_HBB_768E,11,WPA2-PSK,False
808f1da300a7,AMILO,11,WPA/WPA2-PSK,False
3894ed2f5dc0,QIU8888,6,WPA2-PSK,False
ace34298f77c,H25,6,WPA2-PSK,False
74da88f38c8e,sweethome,4,WPA/WPA2-PSK,False
6045cb657450,Hui-TV room,2,WPA2-PSK,False
4459e3582608,HUAWEI_Main,7,WPA2-PSK,False
04d9f5923fe9,VIJMINISHARU,10,WPA2-PSK,False
3c3786f4c05f,Fong Family,8,WPA/WPA2-PSK,False
3023039f4fc9,Mitak,9,WPA2-PSK,False
56d4f74bb676,mohome,2,WPA/WPA2-PSK,False
c4411ee3cac6,Kana,12,WPA2-PSK,False
100c6b30dcd3,Fong Family,8,WPA/WPA2-PSK,False
808f1da30275,AMILO,11,WPA/WPA2-PSK,False
04d9f59290a1,H23,9,WPA2-PSK,False
ace34263efa8,H25,6,WPA2-PSK,False
187c0b03fff8,Ultra Express,9,WPA2-PSK,False
3c7c3f346191,H21,11,WPA2-PSK,False
d45d64799f59,Lee Family,1,WPA2-PSK,False
2058692e86c8,Ultra Express,7,WPA2-PSK,False
c803f5109ce8,Ultra Express,11,WPA2-PSK,False
244bfec73c81,@@@@,2,WPA2-PSK,False
fa8fca95f5f5,AMBEO Soundbar-001b66e9de8d.l014,1,open,False
84a93ebf6320,DIRECT-1F-HP OfficeJet 3830,6,WPA2-PSK,False
c803f550d9e8,Chan's Family,11,WPA2-PSK,False
6032b1346002,H3_WiFi,2,WPA/WPA2-PSK,False
244bfec71991,@@@@,2,WPA2-PSK,False
a040a093806e,KimmyKeily_2.4G_Kitchen,1,WPA2-PSK,False
04d9f5924fb9,VIJMINISHARU,10,WPA2-PSK,False
3894ed2f5da0,QIU8888,11,WPA2-PSK,False
d66a6ab2009d,DIRECT-9d-HP M181 LaserJet,9,WPA2-PSK,False
f42a7db462ee,Fu LV RT,6,WPA/WPA2-PSK,False
04d4c4c92249,BENTLEY,3,WPA2-PSK,False
b8eca325eca7,LaVetta,6,WPA/WPA2-PSK,False
f02f74286ef1,KKK,11,WPA2-PSK,False
d45d647a2b08,Lee Family,1,WPA2-PSK,False
3c7c3f54cfe8,Q8888,5,WPA2-PSK,False
808f1d6f2096,AMILO,11,WPA/WPA2-PSK,False
1c3bf365a43e,sweethome,4,WPA/WPA2-PSK,False
da126582127d,DIRECT-7d-HP M183 LaserJet,6,WPA2-PSK,False
ac853dfad9b7,eye7J,6,WPA2-PSK,False
08028e3b3880,Travis,6,WPA2-PSK,False
244bfec76571,house 28,8,WPA2-PSK,False
04d4c4c19a71,H23,9,WPA2-PSK,False
6032b134582a,H3_WiFi,2,WPA/WPA2-PSK,False
808f1da30575,AMILO,11,WPA/WPA2-PSK,False
1459c0251840,KimmyKeily_2.4G,6,WPA2-PSK,False
ace342642ac4,H25,6,WPA2-PSK,False
cc32e518033f,WinnieBB,7,WPA2-PSK,False
3023039f502d,Mitak,1,WPA2-PSK,False
50d4f78f4172,TINA.H39.HOUSE,5,WPA/WPA2-PSK,False
50d4f78f1296,TINA.H39.HOUSE,5,WPA/WPA2-PSK,False
de47320cbf3a,Deco_BF38,3,open,False
3c3786f4972e,Fong Family,8,WPA/WPA2-PSK,False
04d4c4c19dd0,H23,9,WPA2-PSK,False
1831bf37fbf0,Hazel_GF_2.4G,10,WPA2-PSK,False
d45d647a2551,Lee Family,1,WPA2-PSK,False
74acb9eb8a1c,wacmth.9x,11,WPA2-PSK,False
04d9f5928671,H23,9,WPA2-PSK,False
08028e479060,Hui-Master Bed Room,1,WPA2-PSK,False
46d24427bb07,DIRECT-44273B07,2,WPA2-PSK,False
e89f80587c0d,Fu LV,4,WPA2-PSK,False
baa7a325eca8,HiFi,6,WPA/WPA2-PSK,False
c803f5509ce8,Chan's Family,11,WPA2-PSK,False
f88c213ee212,Legoland,1,WPA/WPA2-PSK,False
c803f510d9e8,Ultra Express,11,WPA2-PSK,False
244bfec7d290,house 28,8,WPA2-PSK,False
00e00100c85f,vYou_DDPai_MINI,4,WPA2-PSK,False
e62a7d86be9f,Legoland,1,WPA/WPA2-PSK,False
40b0763759e1,BringInTech,4,WPA2-PSK,False
3894ed2f5f00,QIU8888,6,WPA2-PSK,False
aac9eb1f357f,MARS-Guest,4,WPA2-PSK,False
3c7c3f359621,bennytoby,9,WPA2-PSK,False
c0b47d455a90,WEWA,1,WPA2-PSK,False
48f8b3d69582,KTSHS16,10,WPA2-PSK,False
244bfec71ad1,@@@@,2,WPA2-PSK,False
0c9d924c9ed9,JohnnynSusan,1,WPA2-PSK,False
04d9f5945f71,ASTOR HOME,3,WPA2-PSK,False
54a70377a472,CFhome_legacy,6,WPA/WPA2-PSK,False
3c7c3ff9f561,@@@@,2,WPA2-PSK,False
48f8b3d6683e,KTSHS16,1,WPA2-PSK,False
48f8b3d67e66,KTSHS16,9,WPA2-PSK,False
68ff7b134b84,TP-LINK_4B84,3,WPA/WPA2-PSK,False
3c7c3f35adf0,bennytoby,9,WPA2-PSK,False
48f8b3d68276,KTSHS21,4,WPA2-PSK,False
40b076374881,BringInTech,4,WPA2-PSK,False
